"General Settings","General Settings"
"Enable Login Popup","Enable Login Popup"
"Show Popup on Home Page","Show Popup on Home Page"
"Sign in","Sign in"
"Forgot Your Password?","Forgot Your Password?"
"Login","Login"
"Don't you have an account?","Don't you have an account?"
"Create an Account","Create an Account"
"First Name","First Name"
"Last Name","Last Name"
"Confirm Password","Confirm Password"
"Sign Up Now","Sign Up Now"
"&laquo; Back to Login","&laquo; Back to Login"
"Forgot Password","Forgot Password"
"Password","Password"
"Email Address","Email Address"
